date,fips,lead,carbon monoxide,sulfur dioxide,nitrogen dioxide,ozone,PM10,PM2.5,county,ideal latitude_x,ideal longitude_x,state,Confirmed,Deaths,Recovered,population,state abbreviation,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",PCTPOVALL_2019,PCTPOV017_2019,PCTPOV517_2019,Total Pop,Pop Pct 0-4,Pop Pct 5-9,Pop Pct 10-14,Pop Pct 15-19,Pop Pct 20-24,Pop Pct 25-29,Pop Pct 30-34,Pop Pct 35-39,Pop Pct 40-44,Pop Pct 45-49,Pop Pct 50-54,Pop Pct 55-59,Pop Pct 60-64,Pop Pct 65-69,Pop Pct 70-74,Pop Pct 75-79,Pop Pct 80-84,Pop Pct 85+,avgtempC,maxtempC,mintempC,sunHour,uvIndex,windspeedKmph,humidity,pressure,precipMM,cloudcover,latitude,longitude,ideal latitude_y,ideal longitude_y,distance,Series_Complete_Pop_Pct,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,active,new,percentage_new
3/22/2020,36061,,0.19075,,,0.0349885,,,New York City,40.7672726,-73.97152637,New York,9654,63,0,1611989,NY,12.7,12.4,13.5,61.3,14.1,17.3,17.1,1611989,4.619200255,4.001205964,3.562741433,4.182348639,6.606000413,11.23692531,10.66781473,8.030017575,6.418468116,5.921442392,5.954258993,5.846876126,5.488188815,4.961262143,4.429744868,3.267888304,2.251938444,2.553677475,4,7,1,11.6,2,17,35,1036,0,6,40.754,-73.766,40.7672726,-73.97152637,17.37303016,0,0,0,0,0,0,0,0,,,,,,,,
3/22/2020,36059,,,0.2011905,,,,,Nassau,40.74066522,-73.58941873,New York,1900,4,0,1351334,NY,8.6,22.7,22.8,46,5.6,6.5,5.8,1351334,5.444249904,5.923776061,6.171901247,6.194249534,6.09420025,6.067115902,5.75853194,6.002661074,6.137268803,6.291634785,6.956015315,7.429991401,6.97666158,5.736109652,4.657249799,3.158730558,2.211444395,2.788207801,4,6,2,11.6,2,19,39,1036,0,11,40.592,-73.581,40.74066522,-73.58941873,16.54606118,0,0,0,0,0,0,0,0,,,,,,,,
3/22/2020,36119,,,,,0.03959975,,,Westchester,41.16278376,-73.75741653,New York,1873,0,0,965802,NY,11.9,19.2,19.9,48.9,8.4,10.1,8.9,965802,5.407423054,5.934549732,6.150225409,6.607772608,6.056624443,5.777685281,5.815063543,6.285553354,6.510547711,6.62433915,7.179318328,7.207274369,6.585821939,5.293424532,4.356379465,3.104984251,2.228821228,2.874191604,3,7,-2,11.6,2,12,38,1037,0,1,40.994,-73.761,41.16278376,-73.75741653,18.77030122,0,0,0,0,0,0,0,0,,,,,,,,
3/22/2020,36103,,,,,,,,Suffolk,40.88320119,-72.8012172,New York,1034,9,0,1474273,NY,9.4,27.3,26.9,36.3,6.8,9.3,8,1474273,5.337546031,5.578003531,5.913423091,6.354047046,6.391150079,6.349298943,5.835554202,5.728654055,5.922037506,6.400917605,7.432409059,7.945543329,7.055545343,5.430134039,4.558111015,3.261878906,2.114126759,2.391619463,2,3,0,11.6,2,23,54,1037,0,7,40.776,-72.716,40.88320119,-72.8012172,13.91038758,0,0,0,0,0,0,0,0,,,,,,,,
3/22/2020,36087,,,,,0.037064,,,Rockland,41.15027894,-74.02560498,New York,455,1,0,326225,NY,11.8,22.5,24.6,41.1,12.5,21.6,19.9,326225,8.426392827,7.721357958,7.83784198,7.333282244,6.461797839,6.104069277,5.464020231,5.640585485,5.487010499,5.403325925,6.00689708,6.313740517,5.706184382,4.701662963,4.017166066,2.927427389,2.05931489,2.387922446,4,8,-2,11.6,2,12,36,1037,0,1,40.995,-74.013,41.15027894,-74.02560498,17.29853172,0,0,0,0,0,0,0,0,,,,,,,,
3/22/2020,36071,,,,,0.040795,,,Orange,41.40337468,-74.30240757,New York,247,0,0,385234,NY,10.3,29.3,30.2,30.3,12.3,18,16.2,385234,6.740059289,6.933188659,7.301276627,7.425097473,7.262858419,6.157815769,5.867862131,6.04411864,5.949890197,6.110312174,6.751480918,6.882310492,5.941583557,4.711422149,3.874268626,2.60984233,1.663144998,1.773467555,2,7,-4,11.6,2,9,45,1037,0,3,41.248,-74.274,41.40337468,-74.30240757,17.43896479,0,0,0,0,0,0,0,0,,,,,,,,
3/22/2020,36001,,,0.301389,,0.03659575,,4.061111111,Albany,42.60060306,-73.97723916,New York,123,0,0,303654,NY,7.9,23,27.4,41.8,11.7,16,13.8,303654,4.850586523,5.183531256,4.987584553,7.074828588,10.35817081,7.073511299,6.309154498,6.226823951,5.582340427,5.363670493,5.995310452,6.64934432,6.441542018,5.637995877,4.735653079,3.038326516,2.008536031,2.483089306,1,6,-4,11.6,2,9,36,1038,0,6,42.518,-73.752,42.60060306,-73.97723916,20.60801728,0,0,0,0,0,0,0,0,,,,,,,,
3/22/2020,36027,,,0.1538888,,0.0393545,,,Dutchess,41.7648606,-73.74356679,New York,82,0,0,293293,NY,8.9,26.8,29.2,35,8.6,9.8,9.2,293293,4.549716495,4.912834606,5.312775961,6.984142138,7.147119093,6.099020433,6.005598497,5.889673466,5.845690146,6.148800005,7.151210564,7.949729451,7.355784148,5.94183973,4.682689324,3.346482869,2.236671179,2.440221894,3,9,-5,11.6,2,9,39,1037,0,2,41.743,-73.499,41.7648606,-73.74356679,20.43257832,0,0,0,0,0,0,0,0,,,,,,,,
3/22/2020,36055,,0.2391145,0.2094446,6.666667,0.03211325,8.09375,5.918589769,Monroe,43.14638895,-77.69322942,New York,68,1,0,740900,NY,9.6,23.4,28.4,38.6,12.7,18.9,18,740900,5.369550547,5.721959779,5.812795249,6.567148063,6.62451073,7.051019031,7.13753543,6.298825752,5.498177892,5.499797544,6.337427453,6.959238764,6.797003644,5.757457147,4.73869618,3.255230126,2.090295586,2.483331084,-1,2,-5,11.6,2,14,46,1037,0,12,42.998,-77.505,43.14638895,-77.69322942,22.49481886,0,0,0,0,0,0,0,0,,,,,,,,
3/22/2020,36029,,0.204125,0.2136807,8.18125,0.031212,7,4.625,Erie,42.76249024,-78.73063652,New York,56,0,0,917241,NY,8.2,27.6,29.9,34.4,13.3,19.3,18.8,917241,5.397381931,5.633306841,5.565494783,6.069724315,6.392540238,7.063683372,7.23539397,6.279374777,5.440336836,5.483291741,6.39264926,7.020619445,7.217187195,6.044758139,4.73812226,3.293572791,2.168241498,2.564320609,1,5,-4,11.6,2,13,42,1036,0,12,42.743,-78.489,42.76249024,-78.73063652,19.84812463,0,0,0,0,0,0,0,0,,,,,,,,
3/22/2020,36067,,,0.2990278,,0.03400675,,5.169444444,Onondaga,43.00491923,-76.19971155,New York,45,0,0,459214,NY,9,25.4,29.7,35.9,13.8,18.7,17.3,459214,5.673825275,5.890717617,5.878305104,6.817300866,6.744132365,6.690344807,6.762424491,6.186222545,5.510067202,5.444955946,6.328639806,7.128920286,6.881323305,5.837583349,4.550166153,3.086578371,2.058735143,2.529757368,0,4,-5,11.6,2,10,36,1038,0,5,42.991,-76.018,43.00491923,-76.19971155,14.85861404,0,0,0,0,0,0,0,0,,,,,,,,
3/22/2020,36091,,,,,0.03635975,,,Saratoga,43.10904162,-73.86653895,New York,35,0,0,230298,NY,6,24.9,27.8,41.4,6,7.2,6.9,230298,4.782064977,5.481159194,5.594490617,5.817245482,5.597095937,5.967919826,6.269702733,6.320072254,6.14855535,6.482904758,7.250171517,7.729116189,7.158116875,6.14291049,5.395617852,3.582749307,2.102927511,2.177179133,-1,3,-6,11.6,2,9,37,1038,0,6,43.003,-73.735,43.10904162,-73.86653895,15.91395768,0,0,0,0,0,0,0,0,,,,,,,,
